Hash,FilePath
ae0fc886168720158a40423306d2325a,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_0.png
ca6db3232b86be6b829f654b532b37b0,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_1.png
4eb2f1e37053686ad601df152d5b03ec,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_10.png
e45171fbbf7dad8a4495c08482f90ee9,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_100.png
a80d08bab1924b942ed53439a6510064,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_101.png
cb78d9418ba27acbd92e95be295f9898,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_102.png
643e4c2b6cebb0de29de876ef6ad67cd,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_103.png
386161585b534b98dda53e758cd763e1,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_104.png
0f5aab2adfca6c2c1695f1f042c1161e,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_105.png
76ca632a9a8363597b931070841c05a7,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_106.png
3a5d200db3ce7fc822d0b5456219b7ad,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_107.png
6fa999b2cc05bb1003086cf0faa35e26,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_108.png
8cb367f0ed990cdc98429b4965ec7f17,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_109.png
0f4558df52156d7b3c0c843ac39d05c3,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_11.png
4e714cf35095a77da153b02af6c40503,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_110.png
ef2fad1b87d07d1fdbcf7f8d4552e514,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_111.png
4cec34a665a69e8f653193162064a013,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_112.png
37b36a3ef4e0905d5f7b386fddc9a07d,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_113.png
017050951a00d85a16fc087e8507c3bb,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_114.png
39790f2468c70caccc764bfbcc65be1b,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_115.png
25991ba304b0219f2e1fe6130aee76bd,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_116.png
905c6e93917470c9b6c7ea74fff0a30e,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_117.png
a06e31eda00b1a1e487eb3ed72b10a1d,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_118.png
d922da1a95df3422b733011f0864857b,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_119.png
f416390157aad6b6484ae5de040cb51c,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_12.png
f0b938a1aff60f837544f89b61e43f3a,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_120.png
af85252ececc5988b4f833195c718f4d,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_121.png
5d7f998321b41d85a01f19e84104f6b3,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_122.png
5f192b4cbace6bfa5a4277588b895418,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_123.png
d7dd28ca934cf3745024ab3620568b3a,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_124.png
f6d5e7dd91f2dacf26c011aa53039b8c,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_125.png
aa20af890cdb54e65887457acdf94457,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_126.png
2145569419dc15dfa20db4c6a023a314,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_127.png
e1114a1a27fdb102fd88560f0f7c0ba8,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_128.png
7b288b09756ddcb80a2c354310be601c,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_129.png
e8127eaca9639cd8269a66f451a6dce7,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_13.png
a13109b68440ae5869401f3152496375,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_130.png
8577af5d63c4f5f83b6eb7cb7ace4431,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_131.png
9af0443502d6c2694a09f67e4848a65e,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_132.png
b66caff5948d135e359032045cc1f228,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_133.png
f3b189aa48cc464aebb6429767982256,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_134.png
a4fa6885798d7b0eee395bd1fa2ae3f2,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_135.png
e81fdf259f986c0a40691f51bb26ae1d,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_136.png
4c57e0116cae783a098334cfe0711e52,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_137.png
1e54fb791dae190f3d2e635a3c4ef3c2,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_138.png
ca66d7dc4d6b7450c244650eb52fe57b,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_139.png
0e672b7edc4311b2af2f296edc11e759,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_14.png
47feb0221e0de25fbddd7df75e664329,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_140.png
4c5dde1a6579680cca61b10da257e502,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_141.png
98299c640f04bb8cacd4dba72da7afda,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_142.png
7893f15712097c932b7d94435cd2655f,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_143.png
ffd614086681940be1b1f9b61fe9324d,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_144.png
e4a74709a050e281b3dcde939957cb42,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_145.png
bb54adae1710ec392bd33cf1818a8819,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_146.png
